id_buku,judul_buku,deskripsi,kategori,user,penulis,rating,ulasan,tahun_terbit
38,Analisis Kinerja Kendaraan,"Buku ini memberikan metode dan alat yang digunakan untuk menganalisis kinerja kendaraan, termasuk pengujian dinamometer dan analisis data untuk meningkatkan performa.",Otomotif,User149,Siti Azis,10,Materinya menarik dan mudah dipahami,2017
39,Teknologi Sistem Hybrid,"Buku ini mengulas lebih dalam tentang teknologi sistem hybrid pada kendaraan, termasuk inovasi terbaru dan tantangan dalam penerapan sistem ini.",Otomotif,User104,Indra Purnomo,10,Materinya menarik dan mudah dipahami,2017
40,Manajemen Bengkel Modern,"Buku ini menawarkan strategi dan praktik terbaik untuk mengelola bengkel otomotif modern, dengan fokus pada penggunaan teknologi dan pengelolaan sumber daya yang efisien.",Otomotif,User39,Indra Siregar,8,Informasinya sangat lengkap,2017
41,Perbaikan Sistem Elektrik,"Buku ini menjelaskan berbagai teknik untuk memperbaiki sistem elektrik pada kendaraan, dari sistem pencahayaan hingga sistem pengisian daya.",Otomotif,User44,Ahmad Kusuma,9,Sangat baik dan bermanfaat,2018
42,Teknik Penyetelan Mesin,"Buku ini membahas berbagai teknik penyetelan mesin untuk meningkatkan performa, termasuk penyetelan karburator, injeksi bahan bakar, dan timing pengapian.",Otomotif,User112,Budi Pratama,10,Sangat baik dan bermanfaat,2021
43,Perawatan Mesin Listrik,"Buku ini memberikan panduan perawatan dan servis mesin listrik pada kendaraan, untuk memastikan kinerja yang efisien dan umur yang panjang.",Otomotif,User168,Rizky Kusuma,8,Informasinya sangat lengkap,2021
44,Servis Kendaraan Hybrid,"Buku ini mengulas teknik-teknik servis yang khusus untuk kendaraan hybrid, termasuk perawatan sistem penggerak hybrid dan manajemen baterai.",Otomotif,User52,Siti Azis,7,Informasinya sangat lengkap,2017
45,Dasar Pengoperasian CNC,"Buku ini memberikan dasar-dasar pengoperasian mesin CNC, dengan fokus pada aplikasi dalam industri otomotif untuk memproduksi komponen presisi.",Otomotif,User151,Ahmad Kusuma,8,Informasinya sangat lengkap,2021
46,Pengelolaan Workshop,"Buku ini memberikan panduan dalam mengelola workshop atau bengkel, termasuk manajemen sumber daya, perencanaan operasional, dan strategi untuk meningkatkan produktivitas.",Otomotif,User17,Ayu Kusuma,10,Sangat baik dan bermanfaat,2021
47,Pemeliharaan Kendaraan,"Buku ini menawarkan panduan umum dalam pemeliharaan kendaraan, mencakup semua aspek dari mesin hingga komponen eksterior untuk menjaga kondisi kendaraan.",Otomotif,User154,Indra Wijaya,7,"Kurang mendalam, tetapi cukup bagus",2016
48,Modifikasi Mesin Racing,"Buku ini berfokus pada teknik modifikasi mesin untuk keperluan balap, termasuk peningkatan tenaga, torsi, dan efisiensi bahan bakar.",Otomotif,User87,Dian Purnomo,9,Informasinya sangat lengkap,2017
49,Sistem Pengereman ABS,"Buku ini mengulas sistem pengereman ABS (Anti-lock Braking System), mencakup prinsip kerja, diagnosa, dan perawatan sistem untuk memastikan keselamatan berkendara.",Otomotif,User182,Rizky Kusuma,10,Sangat baik dan bermanfaat,2017
50,Teknologi Kendaraan Masa Depan,"Buku ini membahas inovasi dan teknologi yang akan diterapkan pada kendaraan di masa depan, termasuk kendaraan otonom, konektivitas, dan energi terbarukan.",Otomotif,User169,Indra Siregar,8,Sangat baik dan bermanfaat,2016
51,Teknik Reparasi Otomotif,"Buku ini membahas berbagai teknik reparasi pada kendaraan bermotor, mulai dari sistem mekanik hingga elektrik, dengan panduan langkah demi langkah untuk perbaikan yang efektif.",Otomotif,User61,Rizky Kusuma,10,Informasinya sangat lengkap,2019
52,Diagnosa Sistem Elektrik,"Buku ini mengajarkan cara mendiagnosa dan memperbaiki masalah pada sistem elektrik kendaraan, termasuk penggunaan alat diagnostik dan interpretasi kode kesalahan.",Otomotif,User163,Fajar Pratama,7,Materinya menarik dan mudah dipahami,2017
53,Servis Mesin Motor,"Buku ini berfokus pada teknik servis mesin motor, termasuk perawatan rutin, penggantian suku cadang, dan cara mendiagnosa serta memperbaiki masalah mesin.",Otomotif,User159,Dian Haryanto,9,Materinya menarik dan mudah dipahami,2019
54,Perawatan Sistem Injeksi,"Buku ini mengulas cara-cara merawat sistem injeksi bahan bakar pada kendaraan, termasuk pemeliharaan preventif dan diagnosa masalah umum pada sistem ini.",Otomotif,User121,Siti Haryanto,7,Materinya menarik dan mudah dipahami,2017
55,Teknik Pemeliharaan Traktor,"Buku ini memberikan panduan komprehensif dalam pemeliharaan traktor, termasuk perawatan mesin, sistem hidrolik, dan komponen penting lainnya untuk memastikan operasi yang optimal.",Otomotif,User170,Yusuf Haryanto,7,Informasinya sangat lengkap,2019
56,Perbaikan Sistem Hidrolik,Buku ini menjelaskan prinsip kerja sistem hidrolik dan cara-cara memperbaiki serta memelihara komponen hidrolik pada berbagai jenis kendaraan.,Otomotif,User4,Fajar Pratama,8,Informasinya sangat lengkap,2018
57,Diagnosa Mesin Injeksi,"Buku ini membahas teknik-teknik untuk mendiagnosa masalah pada mesin injeksi, termasuk penggunaan alat diagnostik dan perbaikan sistem injeksi yang bermasalah.",Otomotif,User190,Ahmad Kusuma,10,"Kurang mendalam, tetapi cukup bagus",2018
58,Teknik Pemeliharaan Mesin Industri,"Buku ini memberikan panduan mengenai pemeliharaan mesin-mesin industri, termasuk mesin produksi dan peralatan berat, dengan fokus pada perawatan preventif dan korektif.",Otomotif,User98,Ahmad Purnomo,8,Informasinya sangat lengkap,2022
59,Manajemen Workshop Otomotif,"Buku ini memberikan strategi dan teknik dalam mengelola workshop otomotif secara efisien, termasuk manajemen sumber daya, pelayanan pelanggan, dan pengelolaan operasional.",Otomotif,User134,Rizky Haryanto,10,Materinya menarik dan mudah dipahami,2016
60,Perawatan Mesin Berat,"Buku ini mengulas teknik perawatan mesin-mesin berat, seperti mesin truk dan alat berat, untuk memastikan kinerja optimal dan memperpanjang umur mesin.",Otomotif,User4,Fajar Pratama,10,Sangat baik dan bermanfaat,2015
61,Pemrograman PLC untuk Otomotif,"Buku ini membahas pemrograman PLC (Programmable Logic Controller) dalam aplikasi otomotif, termasuk penggunaan PLC untuk kontrol dan otomatisasi proses kendaraan.",Otomotif,User10,Hilmi Rahman,8,Materinya menarik dan mudah dipahami,2018
62,Pengujian Emisi Kendaraan,"Buku ini menjelaskan teknik-teknik pengujian emisi kendaraan, serta cara-cara untuk meminimalkan emisi guna memenuhi standar lingkungan yang berlaku.",Otomotif,User160,Hilmi Azis,7,Buku ini cukup membantu,2020
63,Servis Kendaraan Berat,"Buku ini memberikan panduan dalam servis dan pemeliharaan kendaraan berat, seperti truk dan bus, dengan fokus pada perbaikan komponen kritis dan sistem kelistrikan.",Otomotif,User198,Ahmad Purnomo,10,Sangat baik dan bermanfaat,2016
64,Teknik Perawatan Sistem Elektrik,"Buku ini menawarkan teknik-teknik perawatan sistem elektrik pada kendaraan, mencakup perbaikan dan pemeliharaan untuk memastikan kelistrikan kendaraan selalu dalam kondisi baik.",Otomotif,User106,Rizky Putra,9,Buku ini cukup membantu,2022
65,Pemeliharaan Kendaraan Modern,"Buku ini membahas teknik-teknik pemeliharaan yang sesuai dengan kendaraan modern, mencakup teknologi terbaru dan metode pemeliharaan yang efektif.",Otomotif,User115,Fajar Pratama,8,Materinya menarik dan mudah dipahami,2018
66,Perbaikan Sistem Elektronik Kendaraan,"Buku ini mengulas cara mendiagnosa dan memperbaiki sistem elektronik pada kendaraan, termasuk komponen seperti ECU, sensor, dan sistem hiburan.",Otomotif,User93,Budi Haryanto,9,Materinya menarik dan mudah dipahami,2019
67,Teknologi Mesin Diesel,"Buku ini memberikan penjelasan tentang teknologi mesin diesel, mencakup prinsip kerja, perawatan, dan perbaikan mesin diesel untuk kendaraan.",Otomotif,User192,Yusuf Purnomo,9,"Kurang mendalam, tetapi cukup bagus",2017
68,Teknik Reparasi Kendaraan,"Buku ini menjelaskan berbagai teknik reparasi pada kendaraan bermotor, dengan panduan langkah demi langkah untuk berbagai sistem pada kendaraan.",Otomotif,User145,Hilmi Rahman,10,Materinya menarik dan mudah dipahami,2016
69,Diagnosa Kendaraan Listrik,"Buku ini membahas teknik-teknik diagnosa untuk kendaraan listrik, termasuk cara kerja sistem kelistrikan dan komponen khusus yang terdapat pada kendaraan listrik.",Otomotif,User56,Indra Siregar,8,"Kurang mendalam, tetapi cukup bagus",2017
70,Servis Mesin Diesel,"Buku ini memberikan panduan lengkap untuk servis dan perawatan mesin diesel, dengan fokus pada perbaikan komponen kunci dan peningkatan efisiensi mesin.",Otomotif,User100,Indra Purnomo,7,Materinya menarik dan mudah dipahami,2023
71,Perawatan Sistem Pengapian,"Buku ini membahas teknik perawatan sistem pengapian kendaraan, termasuk cara mendiagnosa dan memperbaiki masalah yang sering terjadi pada sistem ini.",Otomotif,User184,Indra Azis,8,Materinya menarik dan mudah dipahami,2015
72,Teknik Pemeliharaan Kendaraan Hybrid,"Buku ini mengulas teknik pemeliharaan untuk kendaraan hybrid, mencakup perawatan sistem penggerak hybrid, baterai, dan komponen lainnya yang spesifik untuk kendaraan jenis ini.",Otomotif,User70,Ayu Putra,10,Informasinya sangat lengkap,2015
73,Manajemen Pemeliharaan Kendaraan,"Buku ini memberikan strategi dan teknik dalam mengelola pemeliharaan kendaraan secara efektif, mencakup perawatan berkala, manajemen suku cadang, dan perencanaan servis.",Otomotif,User133,Rizky Kusuma,9,Buku ini cukup membantu,2020
74,Pengelolaan Bengkel Otomotif,"Buku ini membahas bagaimana cara mengelola bengkel otomotif dengan efektif, termasuk aspek operasional, keuangan, dan pelayanan pelanggan.",Otomotif,User121,Budi Pratama,8,Informasinya sangat lengkap,2016
75,Teknologi Mesin Otomotif Masa Kini,"Buku ini mengulas teknologi mesin otomotif terbaru, mencakup inovasi dalam efisiensi bahan bakar, emisi, dan performa mesin.",Otomotif,User131,Dian Azis,10,Informasinya sangat lengkap,2022
76,Perawatan Sistem Transmisi,"Buku ini memberikan panduan dalam merawat sistem transmisi kendaraan, mencakup transmisi manual, otomatis, dan CVT, serta teknik perbaikan yang diperlukan.",Otomotif,User18,Ayu Pratama,8,Materinya menarik dan mudah dipahami,2016
77,Pemrograman ECU,"Buku ini membahas cara-cara memprogram Electronic Control Unit (ECU) pada kendaraan, termasuk teknik tuning dan kalibrasi untuk meningkatkan performa mesin.",Otomotif,User49,Fajar Rahman,7,Buku ini cukup membantu,2022
78,Servis Mesin Modern,"Buku ini memberikan panduan dalam servis mesin kendaraan modern, dengan fokus pada teknologi terbaru dan teknik perbaikan yang sesuai.",Otomotif,User64,Budi Haryanto,10,Sangat baik dan bermanfaat,2019
79,Teknik Pelatihan Otomotif,"Buku ini mengulas teknik dan metode yang efektif dalam pelatihan otomotif, termasuk penyusunan kurikulum, metode pengajaran, dan evaluasi hasil belajar.",Otomotif,User180,Siti Haryanto,8,Materinya menarik dan mudah dipahami,2023
80,Perawatan Kendaraan Komersial,"Buku ini memberikan panduan dalam merawat kendaraan komersial, seperti truk dan van, dengan fokus pada perbaikan sistem kritis dan manajemen perawatan yang efektif.",Otomotif,User16,Yusuf Purnomo,9,Informasinya sangat lengkap,2021
81,Perbaikan Sistem Kelistrikan Modern,"Buku ini menjelaskan teknik-teknik perbaikan sistem kelistrikan pada kendaraan modern, mencakup penggunaan teknologi terbaru dan alat diagnostik canggih.",Otomotif,User100,Hilmi Wijaya,7,Materinya menarik dan mudah dipahami,2021
82,Diagnosa Sistem Kelistrikan,"Buku ini memberikan panduan dalam mendiagnosa masalah pada sistem kelistrikan kendaraan, termasuk cara penggunaan alat diagnostik dan interpretasi hasilnya.",Otomotif,User88,Fajar Putra,10,Materinya menarik dan mudah dipahami,2023
83,Pemrograman Kendaraan Listrik,"Buku ini membahas cara memprogram sistem elektronik pada kendaraan listrik, termasuk pengaturan kontrol motor listrik, manajemen baterai, dan optimisasi performa kendaraan.",Otomotif,User53,Indra Azis,8,Informasinya sangat lengkap,2016
84,Perawatan Sistem Suspensi Modern,"Buku ini memberikan panduan dalam merawat sistem suspensi pada kendaraan modern, dengan fokus pada teknologi terbaru seperti suspensi aktif dan penyesuaian elektronik.",Otomotif,User33,Dian Siregar,10,Buku ini cukup membantu,2018
85,Pengelolaan Teknologi Otomotif,"Buku ini membahas bagaimana mengelola teknologi otomotif dalam lingkungan workshop atau perusahaan, termasuk manajemen alat, software, dan integrasi teknologi terbaru.",Otomotif,User75,Hilmi Azis,9,Buku ini cukup membantu,2021
86,Teknologi Otomotif Berkelanjutan,"Buku ini mengulas berbagai teknologi otomotif yang ramah lingkungan dan berkelanjutan, mencakup pengurangan emisi, penggunaan energi terbarukan, dan desain kendaraan masa depan.",Otomotif,User37,Siti Haryanto,9,Informasinya sangat lengkap,2018
87,Perbaikan Mesin Modern,"Buku ini memberikan panduan tentang cara memperbaiki mesin kendaraan modern, termasuk teknologi terkini dan metode perbaikan yang sesuai.",Otomotif,User150,Yusuf Haryanto,7,Buku ini cukup membantu,2018
88,Teknik Pengelasan Listrik,"Buku ini mengajarkan teknik-teknik pengelasan listrik yang digunakan dalam perbaikan dan modifikasi kendaraan, termasuk pengelasan baja, aluminium, dan material khusus lainnya.",Otomotif,User160,Rizky Kusuma,7,Materinya menarik dan mudah dipahami,2023
89,Modifikasi Mesin Otomotif Tingkat Lanjut,"Buku ini berfokus pada teknik-teknik modifikasi mesin untuk meningkatkan performa kendaraan, termasuk peningkatan tenaga mesin, efisiensi bahan bakar, dan optimasi sistem elektronik.",Otomotif,User1,Rizky Azis,8,Informasinya sangat lengkap,2016
90,Pengujian Sistem Kendaraan,"Buku ini memberikan panduan dalam pengujian berbagai sistem kendaraan, termasuk pengujian performa mesin, sistem pengereman, dan sistem suspensi.",Otomotif,User171,Rizky Pratama,10,Materinya menarik dan mudah dipahami,2016
91,Servis dan Perawatan Mesin,"Buku ini membahas teknik-teknik servis dan perawatan mesin kendaraan, termasuk perawatan rutin, perbaikan kerusakan, dan tips untuk memperpanjang umur mesin.",Otomotif,User158,Indra Wijaya,7,Sangat baik dan bermanfaat,2015
92,Perawatan Kendaraan Listrik,"Buku ini menawarkan panduan lengkap dalam perawatan kendaraan listrik, mencakup sistem kelistrikan, baterai, dan komponen penggerak elektrik.",Otomotif,User137,Budi Pratama,10,Sangat baik dan bermanfaat,2018
93,Teknik Perawatan Mesin Otomotif,Buku ini memberikan teknik-teknik perawatan mesin otomotif untuk memastikan mesin selalu dalam kondisi optimal dan siap digunakan.,Otomotif,User140,Yusuf Haryanto,10,Materinya menarik dan mudah dipahami,2017
94,Diagnosa Kendaraan Modern,"Buku ini membahas teknik-teknik diagnosa untuk kendaraan modern, termasuk penggunaan alat diagnostik elektronik dan analisis data kendaraan.",Otomotif,User142,Dian Azis,9,Informasinya sangat lengkap,2016
95,Teknologi Pengapian Kendaraan,"Buku ini mengulas teknologi pengapian pada kendaraan, dari sistem konvensional hingga pengapian elektronik, serta cara perawatan dan peningkatan performanya.",Otomotif,User70,Budi Kusuma,8,Buku ini cukup membantu,2017
96,Perbaikan Sistem Bahan Bakar,"Buku ini menjelaskan teknik-teknik untuk memperbaiki sistem bahan bakar kendaraan, termasuk sistem injeksi dan karburator, untuk memastikan efisiensi bahan bakar yang optimal.",Otomotif,User197,Budi Kusuma,8,Materinya menarik dan mudah dipahami,2023
97,Servis Kendaraan Listrik Modern,"Buku ini memberikan panduan servis untuk kendaraan listrik modern, dengan fokus pada perawatan baterai, motor listrik, dan sistem kelistrikan kendaraan.",Otomotif,User103,Fajar Rahman,8,Materinya menarik dan mudah dipahami,2015
98,Resep Makanan Tradisional Jawa,"Buku ini berisi kumpulan resep makanan tradisional Jawa, dari makanan sehari-hari hingga hidangan khas untuk acara-acara khusus, dilengkapi dengan panduan langkah demi langkah.",Tata Boga,User42,Hilmi Azis,9,Buku ini cukup membantu,2022
99,Teknik Mengolah Seafood,"Buku ini memberikan panduan dalam mengolah seafood dengan berbagai teknik memasak, mencakup resep-resep populer dan tips untuk mendapatkan hasil olahan yang lezat dan bergizi.",Tata Boga,User192,Budi Haryanto,8,Informasinya sangat lengkap,2015
100,Kue Khas Indonesia,"Buku ini mengulas berbagai resep kue khas Indonesia, mencakup cara membuat kue tradisional dan modern yang populer di berbagai daerah, dengan panduan yang mudah diikuti.",Tata Boga,User95,Indra Putra,7,Buku ini cukup membantu,2021
101,Hidangan Penutup Nusantara,"Buku ini membahas berbagai hidangan penutup tradisional dari seluruh Nusantara, mencakup resep dan teknik pembuatan yang autentik.",Tata Boga,User70,Rizky Kusuma,8,Materinya menarik dan mudah dipahami,2020
102,Pengolahan Daging Sapi,"Buku ini mengulas teknik-teknik pengolahan daging sapi untuk berbagai jenis masakan, mulai dari persiapan hingga proses memasak.",Tata Boga,User14,Yusuf Purnomo,10,Materinya menarik dan mudah dipahami,2022
